O*NET-SOC Code,Tool Name
11-2022.00,Sage ACT!
11-2022.00,Salesforce software
11-2022.00,Salesforce.com Salesforce CRM
11-2022.00,SAP
11-2022.00,SAP Business Objects
11-2022.00,SAP BusinessObjects Crystal Reports
11-2022.00,SAS
11-2022.00,Scheduling software
11-2022.00,Software on Sailboats Desktop Sales Manager
11-2022.00,Structured query language SQL
11-2022.00,Symantec
11-2022.00,Tableau
11-2022.00,Tax software
11-2022.00,Teradata Database
11-2022.00,Vanguard Software Vanguard Sales Manager
11-2022.00,Web browser software
11-2022.00,Workforce management software
11-2022.00,Yardi
11-2022.00,YouTube
11-2031.00,Computer scanners
11-2031.00,Desktop computers
11-2031.00,Laptop computers
11-2031.00,Multi-line telephone systems
11-2031.00,Personal computers
11-2031.00,Photocopying equipment
11-2031.00,Adobe Systems Adobe Acrobat
11-2031.00,Adobe Systems Adobe AfterEffects
11-2031.00,Adobe Systems Adobe Creative Cloud
11-2031.00,Adobe Systems Adobe Distiller
11-2031.00,Adobe Systems Adobe Dreamweaver
11-2031.00,Adobe Systems Adobe Fireworks
11-2031.00,Adobe Systems Adobe Flash
11-2031.00,Adobe Systems Adobe Flash Player
11-2031.00,Adobe Systems Adobe Illustrator
11-2031.00,Adobe Systems Adobe InDesign
11-2031.00,Adobe Systems Adobe PageMaker
11-2031.00,Adobe Systems Adobe Photoshop
11-2031.00,Apple Final Cut Pro
11-2031.00,Apple iDVD
11-2031.00,Apple iMovie
11-2031.00,Blackbaud eTapestry
11-2031.00,Blackbaud The Raiser's Edge
11-2031.00,Corel WordPerfect Office Suite
11-2031.00,Data entry software
11-2031.00,Drupal
11-2031.00,Facebook
11-2031.00,FileMaker Pro
11-2031.00,Fund accounting software
11-2031.00,Google AdWords
11-2031.00,Google Analytics
11-2031.00,Google Docs
11-2031.00,Google Gmail
11-2031.00,Human resource management software HRMS
11-2031.00,Hypertext markup language HTML
11-2031.00,IBM Notes
11-2031.00,Instagram PeopleMap
11-2031.00,LinkedIn
11-2031.00,Marketo Marketing Automation
11-2031.00,Microsoft Access
11-2031.00,Microsoft Dynamics
11-2031.00,Microsoft Excel
11-2031.00,Microsoft Office
11-2031.00,Microsoft PowerPoint
11-2031.00,Microsoft Project
11-2031.00,Microsoft Publisher
11-2031.00,Microsoft SharePoint
11-2031.00,Microsoft Word
11-2031.00,MicroStrategy
11-2031.00,Novell GroupWise
11-2031.00,Oracle Eloqua
11-2031.00,Oracle PeopleSoft Financials
11-2031.00,Oracle Siebel Server Sync
11-2031.00,QuarkXPress
11-2031.00,Salesforce software
11-2031.00,Slack
11-2031.00,Web browser software
11-2031.00,YouTube
11-2031.00,zkipster
11-3011.00,10-key calculators
11-3011.00,Desktop computers
11-3011.00,Laptop computers
11-3011.00,Laser facsimile machines
11-3011.00,Mobile phones
11-3011.00,Multi-line telephone systems
11-3011.00,Notebook computers
11-3011.00,Personal computers
11-3011.00,Personal digital assistants PDA
11-3011.00,Photocopying equipment
11-3011.00,Scanners
11-3011.00,Tablet computers
11-3011.00,Adobe Systems Adobe Acrobat
11-3011.00,Adobe Systems Adobe PageMaker
11-3011.00,ADP Enterprise HRMS
11-3011.00,ADP Workforce Now
11-3011.00,Atlassian JIRA
11-3011.00,Autodesk AutoCAD
11-3011.00,Blackbaud The Raiser's Edge
11-3011.00,Data entry software
11-3011.00,Delphi Technology
11-3011.00,Email software
11-3011.00,FileMaker Pro
11-3011.00,Fund accounting software
11-3011.00,Human resource management software HRMS
11-3011.00,IBM Notes
11-3011.00,IBM Power Systems software
11-3011.00,IBM SPSS Statistics
11-3011.00,Intuit QuickBooks
11-3011.00,LexisNexis
11-3011.00,LinkedIn
11-3011.00,Medical procedure coding software
11-3011.00,Microsoft Access
11-3011.00,Microsoft Dynamics
11-3011.00,Microsoft Dynamics GP
11-3011.00,Microsoft Excel
11-3011.00,Microsoft Internet Explorer
11-3011.00,Microsoft Office
11-3011.00,Microsoft Outlook
11-3011.00,Microsoft PowerPoint
11-3011.00,Microsoft Project
11-3011.00,Microsoft Publisher
11-3011.00,Microsoft SharePoint
11-3011.00,Microsoft Visio
11-3011.00,Microsoft Windows XP
11-3011.00,Microsoft Word
11-3011.00,Minitab
